date,value,7w_avg
2020-03-24,1.2,
2020-03-24,3.2,
2020-03-24,14.6,
2020-03-24,3.2,
2020-03-24,0.9,
2020-03-24,16.5,
2020-03-24,1.4,5.857142857142857
2020-03-24,10.6,7.2
2020-03-24,0.5,6.814285714285715
2020-03-24,35.0,9.728571428571428
2020-03-24,18.3,11.885714285714286
2020-03-24,1.0,11.900000000000002
2020-03-24,12.4,11.314285714285715
2020-03-24,29.7,15.357142857142858
2020-03-24,32.0,18.414285714285715
2020-03-24,68.0,28.057142857142857
2020-03-24,67.6,32.714285714285715
2020-03-24,97.2,43.98571428571428
2020-03-24,32.4,48.471428571428575
2020-03-24,5.4,47.471428571428575
2020-03-24,3.7,43.75714285714286
2020-03-24,0.5,39.25714285714285
2020-03-24,95.9,43.24285714285714
2020-03-24,3.6,34.1
2020-03-24,37.4,25.557142857142853
2020-03-24,85.4,33.12857142857143
2020-03-24,65.0,41.642857142857146
2020-03-24,1.6,41.34285714285715
2020-03-24,71.7,51.51428571428572
2020-03-24,1.4,38.01428571428571
2020-03-31,39.1,43.08571428571429
2020-03-31,2.5,38.1
2020-03-31,1.0,26.042857142857144
2020-03-31,0.7,16.857142857142858
2020-03-31,80.8,28.17142857142857
2020-03-31,60.9,26.62857142857143
2020-03-31,12.3,28.185714285714283
2020-03-31,14.7,24.7
2020-03-31,6.6,25.285714285714285
2020-03-31,95.3,38.75714285714286
2020-03-31,20.6,41.6
2020-03-31,0.5,30.12857142857143
2020-03-31,8.6,22.657142857142855
2020-03-31,13.0,22.75714285714286
2020-03-31,19.2,23.4
2020-03-31,29.8,26.714285714285715
2020-03-31,79.9,24.514285714285716
2020-03-31,88.8,34.25714285714286
2020-03-31,2.2,34.5
2020-03-31,0.0,33.27142857142857
2020-03-31,89.2,44.15714285714286
2020-03-31,2.6,41.78571428571429
2020-03-31,10.5,39.02857142857143
2020-03-31,70.2,37.642857142857146
2020-03-31,9.3,26.285714285714285
2020-03-31,0.8,26.08571428571429
2020-03-31,5.2,26.82857142857143
2020-03-31,44.6,20.457142857142856
2020-03-31,26.1,23.814285714285717
2020-03-31,0.0,22.314285714285717
2020-04-07,8.3,13.471428571428573
2020-04-07,47.2,18.88571428571429
2020-04-07,19.3,21.528571428571432
2020-04-07,1.7,21.028571428571432
2020-04-07,22.5,17.871428571428574
2020-04-07,93.4,27.485714285714288
2020-04-07,0.4,27.542857142857144
2020-04-07,1.0,26.500000000000004
2020-04-07,1.9,20.028571428571432
2020-04-07,9.9,18.685714285714287
2020-04-07,9.4,19.785714285714285
2020-04-07,52.8,24.114285714285717
2020-04-07,30.1,15.071428571428571
2020-04-07,90.1,27.885714285714283
2020-04-07,77.0,38.74285714285714
2020-04-07,15.1,40.62857142857143
2020-04-07,3.6,39.72857142857142
2020-04-07,0.1,38.4
2020-04-07,85.2,43.028571428571425
2020-04-07,1.1,38.88571428571429
2020-04-07,3.7,26.542857142857144
2020-04-07,43.0,21.685714285714287
2020-04-07,11.5,21.17142857142857
2020-04-07,20.3,23.557142857142857
2020-04-07,69.9,33.528571428571425
2020-04-07,13.6,23.3
2020-04-07,87.0,35.57142857142857
2020-04-07,2.9,35.457142857142856
2020-04-07,8.5,30.52857142857143
2020-04-07,7.0,29.885714285714283
2020-04-14,42.9,33.114285714285714
2020-04-14,10.0,24.557142857142853
2020-04-14,0.0,22.614285714285717
2020-04-14,16.0,12.471428571428572
2020-04-14,44.4,18.4
2020-04-14,86.9,29.599999999999998
2020-04-14,2.3,28.928571428571427
2020-04-14,3.6,23.314285714285717
2020-04-14,85.9,34.15714285714286
2020-04-14,9.4,35.50000000000001
2020-04-14,13.1,35.08571428571428
2020-04-14,90.0,41.60000000000001
2020-04-14,14.5,31.25714285714286
2020-04-14,0.5,31.0
2020-04-14,8.9,31.75714285714286
2020-04-14,54.5,27.271428571428572
2020-04-14,1.0,26.071428571428573
2020-04-14,17.4,26.685714285714287
2020-04-14,94.5,27.32857142857143
2020-04-14,6.0,26.114285714285717
2020-04-14,13.5,27.97142857142857
2020-04-14,0.6,26.785714285714285
2020-04-14,8.4,20.199999999999996
2020-04-14,45.5,26.557142857142853
2020-04-14,57.1,32.228571428571435
2020-04-14,1.0,18.871428571428574
2020-04-14,1.0,18.157142857142855
2020-04-14,3.2,16.685714285714287
2020-04-14,2.4,16.942857142857143
2020-04-14,80.8,27.285714285714285
2020-04-21,94.5,34.285714285714285
2020-04-21,77.7,37.228571428571435
2020-04-21,18.1,39.67142857142857
2020-04-21,13.5,41.457142857142856
2020-04-21,86.5,53.357142857142854
2020-04-21,49.8,60.128571428571426
2020-04-21,50.2,55.75714285714287
2020-04-21,12.0,43.97142857142858
2020-04-21,6.2,33.75714285714285
2020-04-21,3.1,31.614285714285717
2020-04-21,1.1,29.842857142857145
2020-04-21,88.6,30.142857142857142
2020-04-21,10.4,24.514285714285712
2020-04-21,2.4,17.685714285714287
2020-04-21,9.7,17.357142857142858
2020-04-21,16.0,18.75714285714286
2020-04-21,0.8,18.428571428571427
2020-04-21,1.0,18.414285714285715
2020-04-21,0.5,5.828571428571428
2020-04-21,40.3,10.099999999999998
2020-04-21,2.5,10.114285714285712
2020-04-21,1.0,8.87142857142857
2020-04-21,1.7,6.828571428571428
2020-04-21,7.4,7.771428571428571
2020-04-21,10.9,9.185714285714285
2020-04-21,38.5,14.614285714285714
2020-04-21,85.2,21.02857142857143
2020-04-21,10.3,22.142857142857142
2020-04-21,0.2,22.028571428571432
2020-04-21,61.5,30.571428571428573
2020-04-28,82.8,41.34285714285714
2020-04-28,95.0,53.357142857142854
2020-04-28,18.6,50.51428571428572
2020-04-28,72.8,48.74285714285714
2020-04-28,3.7,47.8
2020-04-28,8.7,49.01428571428571
2020-04-28,17.2,42.68571428571429
2020-04-28,2.1,31.157142857142855
2020-04-28,1.0,17.72857142857143
2020-04-28,12.1,16.8
2020-04-28,89.2,19.142857142857142
2020-04-28,9.8,20.014285714285716
2020-04-28,1.1,18.928571428571427
2020-04-28,19.0,19.185714285714287
2020-04-28,55.1,26.75714285714286
2020-04-28,82.6,38.41428571428572
2020-04-28,1.3,36.871428571428574
2020-04-28,2.2,24.442857142857147
2020-04-28,6.3,23.942857142857143
2020-04-28,0.3,23.82857142857143
2020-04-28,39.3,26.728571428571428
2020-04-28,0.9,18.985714285714288
2020-04-28,2.8,7.585714285714288
2020-04-28,60.7,16.071428571428577
2020-04-28,9.3,17.08571428571429
2020-04-28,44.9,22.6
2020-04-28,43.4,28.75714285714286
2020-04-28,0.5,23.21428571428572
2020-04-28,9.7,24.47142857142857
2020-04-28,11.7,25.74285714285714
2020-05-05,2.3,17.400000000000002
2020-05-05,10.6,17.585714285714285
2020-05-05,37.4,16.514285714285716
2020-05-05,0.8,10.42857142857143
2020-05-05,11.3,11.971428571428573
2020-05-05,5.8,11.414285714285716
2020-05-05,16.7,12.12857142857143
2020-05-05,95.7,25.47142857142857
2020-05-05,1.8,24.21428571428572
2020-05-05,2.2,19.185714285714287
2020-05-05,12.7,20.88571428571429
2020-05-05,7.6,20.35714285714286
2020-05-05,78.1,30.685714285714287
2020-05-05,60.3,36.91428571428572
2020-05-05,1.7,23.485714285714288
2020-05-05,2.1,23.52857142857143
2020-05-05,41.9,29.2
2020-05-05,10.2,28.842857142857145
2020-05-05,39.7,33.42857142857143
2020-05-05,7.7,23.371428571428574
2020-05-05,15.9,17.028571428571432
2020-05-05,62.6,25.72857142857143
2020-05-05,0.0,25.428571428571427
2020-05-05,1.4,19.642857142857142
2020-05-05,27.7,22.142857142857146
2020-05-05,2.9,16.88571428571429
2020-05-05,1.3,15.971428571428573
2020-05-05,90.5,26.62857142857143
2020-05-05,72.3,28.014285714285716
2020-05-05,72.6,38.385714285714286
2020-05-12,5.4,38.95714285714286
2020-05-12,92.5,48.214285714285715
2020-05-12,40.9,53.64285714285715
2020-05-12,3.2,53.91428571428572
2020-05-12,12.4,42.75714285714286
2020-05-12,6.9,33.41428571428572
2020-05-12,2.1,23.34285714285715
2020-05-12,7.4,23.62857142857143
2020-05-12,0.9,10.542857142857144
2020-05-12,16.9,7.114285714285716
2020-05-12,0.7,6.757142857142859
2020-05-12,16.3,7.314285714285717
2020-05-12,0.4,6.385714285714288
2020-05-12,64.9,15.357142857142861
2020-05-12,10.8,15.842857142857145
2020-05-12,35.1,20.72857142857143
2020-05-12,17.7,20.84285714285715
2020-05-12,0.4,20.800000000000008
2020-05-12,42.4,24.528571428571436
2020-05-12,57.6,32.7
2020-05-12,0.9,23.557142857142868
2020-05-12,67.4,31.64285714285715
2020-05-12,73.2,37.08571428571429
2020-05-12,3.4,35.04285714285715
2020-05-12,1.9,35.25714285714286
2020-05-12,9.3,30.528571428571432
2020-05-12,26.8,26.128571428571433
2020-05-12,94.9,39.557142857142864
2020-05-12,1.1,30.085714285714293
2020-05-12,76.6,30.571428571428577
2020-05-19,92.9,43.357142857142854
2020-05-19,77.0,54.08571428571429
2020-05-19,1.1,52.91428571428572
2020-05-19,7.4,50.142857142857146
2020-05-19,76.2,47.47142857142858
2020-05-19,11.0,48.88571428571429
2020-05-19,51.4,45.285714285714285
2020-05-19,3.1,32.45714285714286
2020-05-19,34.3,26.35714285714286
2020-05-19,9.5,27.55714285714286
2020-05-19,14.9,28.628571428571433
2020-05-19,2.9,18.157142857142862
2020-05-19,6.3,17.485714285714288
2020-05-19,48.6,17.085714285714293
2020-05-19,10.0,18.071428571428577
2020-05-19,1.1,13.328571428571433
2020-05-19,4.2,12.571428571428575
2020-05-19,0.0,10.442857142857147
2020-05-19,0.0,10.028571428571434
2020-05-19,1.0,9.271428571428576
2020-05-19,62.1,11.200000000000005
2020-05-19,23.0,13.057142857142862
2020-05-19,3.0,13.328571428571435
2020-05-19,37.9,18.142857142857146
2020-05-19,71.3,28.32857142857143
2020-05-19,12.2,30.071428571428577
2020-05-19,2.2,30.242857142857144
2020-05-19,12.9,23.21428571428572
2020-05-19,1.7,20.171428571428574
2020-05-19,95.2,33.34285714285715
2020-05-26,2.1,28.22857142857143
2020-05-26,33.3,22.800000000000004
2020-05-26,0.0,21.05714285714286
2020-05-26,10.0,22.171428571428574
2020-05-26,0.8,20.442857142857143
2020-05-26,80.0,31.628571428571433
2020-05-26,14.8,20.142857142857146
2020-05-26,77.3,30.88571428571429
2020-05-26,20.0,28.985714285714288
2020-05-26,95.5,42.628571428571426
2020-05-26,3.0,41.628571428571426
2020-05-26,6.9,42.5
2020-05-26,55.8,39.042857142857144
2020-05-26,13.3,38.82857142857142
