date,var1,var2,var3,var4,var5,drift_period
1990-01-01,0.496714153,0.3918040054,-0.03431702304,5.098307949,-1.567988266,0
1990-01-08,0.4844191001,-0.7762281675,0.01852588186,-0.5027016795,0.9311535902,0
1990-01-15,1.88426686,1.579938241,2.390216321,3.440665301,3.313604675,0
1990-01-22,3.356054292,2.057714586,2.528705796,-1.388052409,4.341355465,0
1990-01-29,2.169462485,3.30290736,2.776492756,4.987815754,4.120463111,0
1990-02-05,2.706186777,3.459904102,3.972177072,3.938595692,4.333832242,0
1990-02-12,5.014826107,2.94254435,3.492455302,5.334728138,1.29038926,0
1990-02-19,4.64998847,5.639125243,4.71429343,2.505837525,-0.6760928963,0
1990-02-26,3.805444944,4.756389756,5.014824546,-0.06833091723,-1.621380517,0
1990-03-05,5.149840172,5.299975589,5.459290169,6.837036323,-4.541403738,0
1990-03-12,4.411663521,4.741813254,6.311257963,-0.515128244,-4.228090269,0
1990-03-19,4.608979334,5.511426836,6.320955139,5.00265761,-2.649159343,0
1990-03-26,5.445506642,5.278741656,6.307906202,8.98708997,-3.065183661,0
1990-04-02,3.346719755,6.12705394,5.472556282,6.875693208,-1.084905509,0
1990-04-09,3.518626538,8.075252851,5.883521223,12.2085723,4.069733189,0
1990-04-16,4.592421558,4.982807944,6.29335462,9.430036545,6.10693361,0
1990-04-23,3.982250093,4.661519816,6.321767401,4.313386048,8.627764505,0
1990-04-30,5.081527461,7.598450456,5.562178266,6.209220268,6.533176089,0
1990-05-07,3.566895254,5.705595652,7.120757667,5.772807222,5.935353008,0
1990-05-14,2.71025004,4.973481002,6.400750768,0.8960234508,2.901105678,0
1990-05-21,5.18126206,6.355517979,5.616672451,2.494416542,1.1006489,0
1990-05-28,3.034547433,4.334708194,4.976342164,3.258041013,0.4516435505,0
1990-06-04,2.831144065,6.349625574,4.417511375,-1.585045648,-4.599074032,0
1990-06-11,0.808276249,4.750950307,3.597065205,4.21550484,-2.249928113,0
1990-06-18,1.132195597,3.108666913,3.635318581,2.849362787,0.4206674006,0
1990-06-25,1.213605991,5.259991615,3.231559671,-1.915998303,0.458418359,0
1990-07-02,-0.6309935774,1.994285077,1.979119712,3.812638596,4.250572963,0
1990-07-09,0.3130146171,2.839411971,2.264404807,4.244934833,4.394403711,0
1990-07-16,-1.237217011,1.902714259,1.525792154,2.284525115,6.882871835,0
1990-07-23,-1.484718185,2.428716854,0.1730717858,0.1547710392,7.897069073,0
1990-07-30,-2.325322472,2.237895337,0.2461916344,2.450710595,5.457490134,0
1990-08-06,-0.3680455491,0.2916804154,0.05287349963,2.300337348,5.247435463,0
1990-08-13,-2.689110516,-0.8690311616,0.8282305375,0.806597418,3.299703242,0
1990-08-20,-4.14026467,0.01741840208,-0.1642771786,-2.916390492,2.925487757,0
1990-08-27,-2.612374417,-1.392634699,-1.382660114,0.1148829671,0.9565398145,0
1990-09-03,-4.948123778,1.086107119,-0.6842619836,2.659161824,-0.8510447707,0
1990-09-10,-3.746217618,-0.9385458823,-1.848733208,-2.864968389,-0.5394414736,0
1990-09-17,-6.074379211,-1.520030638,-0.6133635602,5.13910893,-0.5790687422,0
1990-09-24,-5.531730419,-0.9788640646,-1.399106696,-2.740437172,2.678315809,0
1990-10-01,-4.023138764,-2.44712629,-1.146818094,-1.00277896,3.908788443,0
1990-10-08,-3.42507779,-1.935158409,-0.3006460467,-2.981001159,6.381479908,0
1990-10-15,-3.863340806,0.4457048208,-1.398290871,-0.08489657937,7.949326696,0
1990-10-22,-3.950729496,-1.131975492,-1.173640306,-5.701746291,9.847994848,0
1990-10-29,-3.868383824,-1.174191111,-0.4190797914,-1.765405525,8.553882397,0
1990-11-05,-4.71344132,0.8217334231,0.804270096,-2.991282931,8.692044668,0
1990-11-12,-3.562397949,1.943150414,-0.002226778594,1.163461303,4.564429181,0
1990-11-19,-2.856252062,2.003340019,-0.1316910903,4.267728835,2.304505424,0
1990-11-26,-0.8432015074,2.855723952,1.634096837,3.797694828,2.071813464,0
1990-12-03,-1.019997571,1.719589051,2.75225454,-4.638593943,0.03637457199,0
1990-12-10,-2.556064591,1.705164898,3.72710644,9.253184524,-0.5174357866,0
1990-12-17,0.127505648,5.304755331,3.571840998,4.6892615,1.775138403,0
1990-12-24,0.03223431831,4.17463676,4.291603295,2.167819177,2.169122726,0
1990-12-31,0.3630779997,4.949166984,5.776950367,5.671383757,4.999798746,0
1991-01-07,2.27435969,7.230877543,4.967812551,6.431252869,9.02284381,0
1991-01-14,3.307577844,7.152808331,6.402317934,4.596032171,11.05406168,0
1991-01-21,3.804304554,7.728912207,7.36823638,7.866774437,12.03594258,0
1991-01-28,2.604398337,10.08861821,8.148225221,6.101198997,9.992955436,0
1991-02-04,3.671111358,7.896805503,8.285420387,7.327237756,10.2463162,0
1991-02-11,4.806876723,10.04345342,9.132833797,7.056775884,6.047625494,0
1991-02-18,5.898098868,9.699566866,8.398390064,5.344539872,3.796518804,0
1991-02-25,4.835745092,10.38351161,9.785795123,10.55242874,0.3339308562,0
1991-03-04,5.461621152,12.05574855,10.75403448,12.28317844,3.097786988,0
1991-03-11,4.808746239,11.38291697,10.3839342,12.419732,0.3724757804,0
1991-03-18,4.918502463,11.69300517,11.1842012,13.61448485,2.058548091,0
1991-03-25,7.056070193,12.43605171,11.58698062,12.336565,3.166059798,0
1991-04-01,7.656240029,11.13504727,11.3287254,9.901823505,7.195165248,0
1991-04-08,6.211534249,10.7243347,11.64877626,14.08253596,8.5479822,0
1991-04-15,7.198241985,10.50989989,11.0733428,7.482156468,9.510102439,0
1991-04-22,6.396717238,9.508724624,11.37177557,8.773067066,12.20520693,0
1991-04-29,5.162160374,13.38348726,11.63238821,8.434679914,10.14135119,0
